CustomerID,Name,Region,JoinDate,RewardPoints,LoyaltyTier
1000,Robert Gomez,West,2024-02-25,860,Bronze
1001,John Silva,East,2020-12-01,3772,Silver
1002,Mark Marshall,Central,2020-08-08,3092,Bronze
1003,David Brennan,North,2020-05-21,466,Gold
1004,Kerry Collins,North,2023-09-12,4426,Bronze
1005,Jessica Mora,South,2021-08-05,3444,Bronze
1006,Hannah Ray,West,2021-07-03,3171,Bronze
1007,David Kim,West,2020-05-20,2919,Gold
1008,William Ramirez,East,2023-09-15,130,Gold
1009,Zachary Bell Jr.,East,2023-04-20,1685,Bronze
1010,Mike Davis,East,2022-03-23,769,Silver
1011,Amanda Myers,West,2021-09-05,2391,Gold
1012,Tara Miller,North,2020-08-10,2433,Silver
1013,Alyssa Morgan,North,2022-07-22,1184,Silver
1014,Cindy Woods,East,2024-04-02,4555,Bronze
1015,Jennifer Rodgers,North,2023-02-12,3385,Bronze
1016,Andrea Roberts,East,2021-05-16,4117,Gold
1017,Brittney Burnett,North,2020-07-03,4843,Gold
1018,Edwin Garrison,South-West,2020-08-31,2904,Silver
1019,Michelle Torres,Central,2020-11-18,474,Bronze
1020,Michelle Brewer,East,2021-07-14,1082,Bronze
1021,Aaron Burnett,South,2024-02-13,2558,Silver
1022,Austin Gutierrez,East,2021-11-25,2047,Gold
1023,Dustin Medina,East,2021-06-14,2747,Gold
1024,Andres Avila,Central,2022-09-19,975,Silver
1025,Garrett Lewis,South,2023-08-04,1806,Silver
1026,Gary Walls,North,2023-10-05,189,Bronze
1027,Anthony Schroeder,East,2020-10-04,2734,Bronze
1028,Haley Wagner,West,2023-11-03,3005,Gold
1029,Gina Powers,West,2022-10-26,4658,Silver
1030,Alice Robinson,East,2021-08-06,1899,Bronze
1031,Jessica Frazier,West,2021-10-20,1267,Bronze
1032,Terri Long,East,2022-10-23,1528,Silver
1033,Paul Perkins,East,2022-03-16,3202,Bronze
1034,Heather Smith,Central,2022-09-16,3556,Bronze
1035,Lorraine Rodriguez,East,2022-09-26,3890,Silver
1036,Robert Bishop,South-West,2020-09-14,646,Silver
1037,Lisa Sanders,West,2020-06-03,2888,Silver
1038,Jason Ford,East,2023-10-09,2435,Bronze
1039,Brandy Good,West,2023-05-21,600,Silver
1040,Angel Lee,Central,2022-04-08,2363,Bronze
1041,David Beltran,East,2021-01-18,2061,Bronze
1042,Christopher Dodson,North,2023-10-30,241,Silver
1043,Eric Pena,West,2022-06-30,2041,Silver
1044,Anita Huerta,East,2022-04-08,2824,Gold
1045,Dr. Susan Bailey,North,2020-10-02,2612,Silver
1046,Tyler Colon,Central,2021-03-03,1363,Silver
1047,Ashley Pearson,West,2020-10-04,1478,Bronze
1048,Dr. Donald Proctor,North,2024-03-17,2556,Bronze
1049,Rebecca Jordan,West,2022-10-08,775,Bronze
1050,Jeffrey Mclaughlin,East,2022-03-28,4014,Bronze
1051,Amy Nguyen,Central,2024-02-13,34,Unknown
1052,Brandon Hinton,South-West,2022-11-10,3152,Bronze
1053,Benjamin Cline,East,2022-01-25,1955,Gold
1054,Laura Mcdonald,South,2022-12-03,1585,Silver
1055,William Benitez,East,2020-11-04,3943,Silver
1056,Kristina Wilson,East,2023-05-15,3073,Silver
1057,Kathy Hall,North,2023-10-27,1021,Silver
1058,Steven Jackson,Central,2020-06-26,3461,Bronze
1059,Steve Massey,West,2020-08-06,2613,Bronze
1060,Mr. Christopher Thompson,South,2023-04-10,3843,Silver
1061,Taylor Kaufman,North,2021-07-23,1500,Bronze
1062,Ashley Harmon,South,2024-02-13,4798,Bronze
1063,Howard Case,South-West,2021-02-15,161,Silver
1064,Joshua Cline,East,2024-02-19,4297,Bronze
1065,Daniel Adams,Central,2023-07-02,1981,Gold
1066,Derrick Myers,North,2022-04-06,995,Unknown
1067,Lawrence Pearson,East,2023-04-29,4911,Gold
1068,Melissa Gutierrez,East,2023-12-25,3342,Bronze
1069,Virginia Warren,North,2023-08-24,4551,Bronze
1070,Brittany Johnson,East,2021-06-04,3798,Gold
